buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-CFS-245947,The North Yorkshire Council,103,242503497.01,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-86222,Sanctuary Housing Association,3,240126520.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-195110,Ministry of Defence,1,234440286.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-126886,Department for Education,26,231884358.72,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-21,Torus62 Limited,2,228166666.67,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/K9JE9e8E,IN-TEND LIMITED,6,223141573.14,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-120787,The Royal Borough of Kingston upon Thames,48,220797401.36,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-182065,Ministry of Defence,12,215417000.0,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-50611,London Borough of Merton,28,214305076.78,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/3A4AmUm4,Cabinet Office,114,212050596.71,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-232082,National Highways,23,210673933.56,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-LAE-HAV,LONDON BOROUGH OF HAVERING,22,209498320.6,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-149344,HS2,2,206985125.2,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-299986,Hampshire County Council,3,200463105.5,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-299924,London Universities Purchasing Consortium,1,200000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-327254,Hyde Housing Association Ltd.,1,200000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-94537,NEUPC Ltd,1,200000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-309796,North Western Universities Purchasing Consortium,1,200000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-327010,Hyde Housing Association Limited,1,200000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-233134,Cheshire west and Chester Borough Council,32,196053000.0,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-294434,Places for People Group Limited,2,195000000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-309839,Ministry of Defence,1,194440000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-262777,NHS England,25,191299774.78,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-311644,Ministry of Defence,1,190200000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-307106,HS2,1,189515306.04,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-148211,The Legal Aid Agency,2,187781577.0,2-9 awards,£100M-<£1B,Lower activity / High value
